what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761421627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761423437
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1534761423453
error,log,,,"Server Tomcat v7.0 Server at localhost failed to start.",1534761427722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761427755
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1534761427833
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1534761428160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761428191
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1534761428191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761434290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761434384
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1534761438612
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1534761482276
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1534761483805
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1534761488422
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1534761491776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761493711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761497798
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1534761504490
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1534761504506
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1534761505894
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1534761506971
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1534761509654
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1534761516222
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1534761516942
error,log,,,"Server Tomcat v7.0 Server at localhost failed to start.",1534761517864
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1534761517880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761517911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761517958
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1534761517958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761522903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761530345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1534761539003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1534761564571
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1534761573666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761575242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534761585959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1534761585974
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1534761591762
