what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1534836895565
locale,sysinfo,,,"es_ES",1534836895565
processors,sysinfo,,,"4",1534836895565
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1534836895565
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1534836895565
java.specification.name,sysinfo,,,"Java Platform API Specification",1534836895565
java.specification.vendor,sysinfo,,,"Oracle Corporation",1534836895565
java.specification.version,sysinfo,,,"1.8",1534836895565
java.vendor,sysinfo,,,"Oracle Corporation",1534836895565
java.version,sysinfo,,,"1.8.0_181",1534836895565
java.vm.info,sysinfo,,,"mixed mode",1534836895565
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1534836895565
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1534836895565
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1534836895565
java.vm.specification.version,sysinfo,,,"1.8",1534836895565
java.vm.vendor,sysinfo,,,"Oracle Corporation",1534836895565
java.vm.version,sysinfo,,,"25.181-b13",1534836895565
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1534836895877
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1534836895940
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1534836895971
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1534836896361
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1534836896720
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1534836897032
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1534836897094
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1534836898498
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1534836907905
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1534836920307
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1534836920853
