what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1534917608094
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1534917608094
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1534917608094
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1534917608094
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1534917608094
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1534917608110
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1534917608110
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1534917608110
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1534917608110
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1534917608110
os,sysinfo,,,"win32",1534917608110
arch,sysinfo,,,"x86_64",1534917608110
ws,sysinfo,,,"win32",1534917608110
locale,sysinfo,,,"es_ES",1534917608110
processors,sysinfo,,,"4",1534917608110
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1534917608110
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1534917608110
java.specification.name,sysinfo,,,"Java Platform API Specification",1534917608110
java.specification.vendor,sysinfo,,,"Oracle Corporation",1534917608110
java.specification.version,sysinfo,,,"1.8",1534917608110
java.vendor,sysinfo,,,"Oracle Corporation",1534917608110
java.version,sysinfo,,,"1.8.0_181",1534917608110
java.vm.info,sysinfo,,,"mixed mode",1534917608110
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1534917608110
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1534917608110
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1534917608110
java.vm.specification.version,sysinfo,,,"1.8",1534917608110
java.vm.vendor,sysinfo,,,"Oracle Corporation",1534917608110
java.vm.version,sysinfo,,,"25.181-b13",1534917608110
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1534917609935
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1534917611089
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1534917615645
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1534917620106
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1534917631447
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1534917631479
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1534917637095
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1534917637095
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1534917637110
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1534917649481
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1534917649512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534917651103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534917657562
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1534917661649
